25-jährige;25-year-old
 Protesten;protests
 Lernen;Learn
 Klang;Sound
 bemerkbar;noticeable
 Zeugnis;Testimony
 Tätigkeiten;Activities
 William;William
 ehemaligen;former
 Jugoslawien;Yugoslavia
 Jena;Jena
 Philosophen;philosophers
 ungewiß;uncertain
 rollen;roll
 gewertet;counted
 sonstige;other
 verrückt;crazy
 bezeichneten;designated
 gegenwärtige;current
 Vorwürfen;allegations
 souverän;sovereign
 geschlossene;closed
 blutigen;bloody
 Güter;Goods
 Lokal;Local
 ausreichen;sufficient
 abgerissen;tore off
 Marsch;March
 Frühling;Spring
 aufhören;stop
 T;T
 osteuropäischen;Eastern Europe
 sozialistische;socialist
 Verhaftung;Arrest
 Hahn;Hahn
 mutmaßliche;suspected
 Optionen;options
 Bremerhaven;Bremerhaven
 erforderliche;required
 gegeneinander;against each other
 Erfinder;Inventor
 bewerben;apply
 ungarischen;Hungarian
 Momente;moments
 kleinste;smallest
 entführt;kidnapped
 kräftige;powerful
 V.;V .
 einnehmen;taking
 Anstalt;institution
 Körpers;body
 frühe;early
 Zimmermann;Zimmermann
 Mathematik;Mathematics
 Texas;Texas
 DAG;DAG
 befördert;transported
 externen;external
 Schwere;heavy
 Malaysia;Malaysia
 einseitig;on one side
 vereint;united
 Company;Company
 geeigneten;appropriate
 unterstützte;supported
 geübt;practiced
 begraben;to bury
 Volkspartei;People's Party
 geteilt;divided
 Prüfungen;Exams
 Konsum;Consumption
 Arena;Arena
 nachdenken;think
 theoretisch;theoretically
 kg;kg
 Insekten;Insects
 grundlegende;basic
 Entwürfe;Drafts
 empfinden;feel
 Haufen;Heap
 zunehmen;increase
 Betrachtung;Consideration
 umfassen;include
 Offenheit;Openness
 Albaner;Albanians
 Szenario;Scenario
 kopieren;copy
 glatt;smooth
 wöchentlich;weekly
 verkraften;cope with
 Techniker;Technician
 hervorragende;excellent
 saniert;rehabilitated
 Todes;death
 dominiert;dominated
 sichert;safeguards
 Netze;networks
 Kalkulation;Calculation
 Heft;Notebook
 Aufsteiger;Movers
 veröffentlichen;publish
 Tonne;Ton
 Tel;Tel
 kehren;return
 verfaßt;written
 Champions;Champions
 League;League
 Föderation;Federation
 Fertigstellung;Completion
 Formular;Form
 Herausforderungen;challenges
 Landschaften;landscapes
 angegebenen;specified
 verbreitete;spread
 entworfen;designed
 Referendum;Referendum
 attraktiver;more attractive
 örtliche;local
 warm;warm
 Niedergang;Decline
 meldeten;reported
 Eintracht;Eintracht
 verärgert;upset
 komplizierten;complicated
 kommunale;community
 Bestellungen;orders
 Spektakel;Spectacle
 einführen;introduce
 Donau;Danube
 Krankenhäusern;hospitals
 Luxus;Luxury
 geringeren;lower
 Diagnose;Diagnosis
 Streß;Stress
 Wiederholung;Repeat
 Wahlgang;Ballot
 Überraschungen;Surprises
 veranschlagt;estimated
 Weiterhin;Farther
 Geschäftsmann;Businessman
 Verfall;expiration
 morgigen;tomorrow
 toten;kill
 großzügig;generous
 Europameisterschaft;European Championship
 bestellen;to order
 kurdischen;Kurdish
 Kollegin;Co-worker
 wozu;what for
 besseres;better
 Prozesses;process
 Plakate;posters
 Heidelberger;Heidelberger
 Selbständigkeit;Independence
 korrigieren;correct
 Tendenzen;trends
 hinauf;up
 zerstörten;destroyed
 Clubs;clubs
 Stamm;Tribe
 fein;fine
 entgehen;escape
 abgelaufenen;the past
 heftiger;violent
 SPD-Politiker;SPD politician
 nebenan;next door
 gesunden;healthy
 ausgetauscht;exchanged
 Bosniens;Bosnia
 schützt;protects
 Standorten;locations
 gewaltig;enormous
 Angela;Angela
 Sparkasse;savings Bank
 Duo;Duo
 Bedürfnis;Desire
 Friedens;peace
 Stücken;pieces
 Löschen;Clear
 herrschen;to rule
 beschleunigen;accelerate
 Beamter;Official
 Nordkorea;North Korea
 regelmäßigen;regular
 Wörter;words
 fliehen;flee
 transportieren;transport
 Nachdruck;vigor
 Erna;Erna
 Jacques;Jacques
 Chirac;Chirac
 einzeln;individually
 Ausschluß;Exclusion
 Porträt;Portrait
 doppelten;double
 jedesmal;each time
 BVG;BVG
 erledigen;take care of
 trocken;dry
 Rückgabe;Return
 kennengelernt;to know
 Flüge;Flights
 Etappe;Stage
 wählte;chose
 Tochtergesellschaft;Subsidiary
 Vorurteile;Prejudices
 reist;traveling
 Eher;Rather
 Mittelstand;Middle class
 Beton;Concrete
 Abfahrt;Departure
 Anhängern;trailers
 eindeutige;clear
 Gießen;To water
 anmelden;Sign in
 Tee;Tea
 Spiels;game
 Bundesinnenminister;Interior Minister
 Umlaufrendite;Current yield
 hinterlegt;deposited
 palästinensische;Palestinian
 ländlichen;rural
 entkommen;escape
 Sicherheitskräfte;Security forces
 Bürokratie;Bureaucracy
 diplomatischen;diplomatic
 Botschaften;Embassies
 siebten;seventh
 stünde;would
 Ausgerechnet;Ironically
 Wiederwahl;Re-election
 verstehe;understand
 Sonstige;other
 las;read
 Mönchengladbach;Mönchengladbach
 Bundesgebiet;Federal Republic
 gewartet;serviced
 Regierungskoalition;Government coalition
 Lübecker;Lübeck
 verfehlt;missed
 Tschechen;Czechs
 Versuchen;To attempt
 Freiheitsstrafe;Imprisonment
 Hose;Trousers
 Schwerin;Schwerin
 Chemnitz;Chemnitz
 ausgenommen;excluded
 hiesigen;local
 Segen;Blessing
 Ästhetik;Aesthetics
 Verständigung;Understanding
 elektrische;electrical
 geschenkt;given
 schrittweise;gradually
 Somalia;Somalia
 Übergabe;Handing over
 Somit;Thus
 entspreche;corresponded
 schier;almost
 Maus;Mouse
 Erkrankung;Illness
 abbauen;dismantle
 Redner;speakers
 internationales;international
 parlamentarische;parliamentary
 Sammler;collectors
 Kommando;Command
 erregt;energized
 Bischöfe;bishops
 Saarbrücken;Saarbrücken
 feierten;celebrated
 ausgerüstet;equipped
 Mr.;Mr .
 Unsinn;Nonsense
 fünfziger;fifties
 Jahren;years
 knappe;scarce
 kritisierten;criticized
 Album;Album
 Media;Media
 Durchgang;Passage
 radikal;radical
 aufgestockt;increased
 Kneipe;Pub
 Kopenhagen;Copenhagen
 Zweite;Second
 Dichters;poet
 anzulegen;to apply
 bezweifelt;doubts
 Offenbacher;Offenbacher
 Systematische;systematic
 Gesundheitswesen;health care
 Funk;Radio
 härter;harder
 verbrannt;burned
 Bad;Bath
 Vilbel;Vilbel
 Vertrages;contract
 Corporation;Corporation
 Geldstrafe;Fine
 überwachen;monitor
 Wiederaufnahme;Recovery
 gelegene;preferred
 künstlich;artificially
 gefangen;captured
 gewordene;become
 Bekannten;known
 Scheidung;Divorce
 isoliert;isolated
 rasche;rapid
 bestritt;denied
 Schülerinnen;Students
 Psychologie;Psychology
 gewollt;willed
 veranstalten;organize
 eingegeben;entered
 qm;square meters
 Zweitens;Secondly
 Arbeitslosenquote;unemployment
 Salzburg;Salzburg
 gerissen;cracked
 erobern;conquer
 Verlusten;losses
 Favorit;Favourite
 Betroffene;Affected
 empfahl;recommended
 Produktionen;productions
 Sagen;Say
 Flughafens;airport
 sechzig;sixty
 trieb;drive
 t;t
 Wirtschaftsministerium;Ministry of Economy
 Neuseeland;New Zealand
 Kolumbien;Colombia
 Aufteilung;Division
 Schritten;steps
 schönste;most beautiful
 größtenteils;Mostly
 Handlungen;actions
 Hammer;Hammer
 denselben;the same
 Doktor;Doctor
 ungeachtet;regardless
 Erhebung;survey
 Heimatstadt;Hometown
 vorrangig;priority
 Meisterschaften;Championships
 Martina;Martina
 Profit;Profit
 Belange;concerns
 net;net
 SAP-System;SAP system
 verursachen;cause
 Zivilisation;Civilization
 umgebracht;killed
 Guten;good
 Sohnes;son
 Entweder;Either
 Kranke;sick
 zwingend;absolutely
 wofür;for what
 benötigte;required
 sammelt;collects
 rtr;rtr
 Gift;poison
 Vermittler;intermediaries
 langsamer;slower
 Buchungen;bookings
 Unterbringung;accommodation
 Bindung;Binding
 Durchmesser;Diameter
 eigenständige;stand-alone
 Richtungen;directions
 renommierten;renowned
 Verdienst;merit
 pünktlich;in time
 bekanntesten;known
 Kennzahlen;indicators
 Kader;cadres
 verfallen;expire
 verbraucht;consumed
 friedlichen;peaceful
 gelandet;landed
 Sindelfingen;Sindelfingen
 BSE;BSE
 Jahrhundertwende;Turn of the century
 Fußballer;footballers
 Handels;trade
 Intervention;Intervention
 Klientel;Clientele
 aufgeteilt;divided up
 belohnt;rewarded
 StZ;StZ
 Gefährdung;Endangering
 hilflos;helpless
 Adam;Adam
 problematisch;problematic
 freiwilligen;voluntary
 Spaniens;Spain
 null;zero
 aktivieren;activate
 abzubauen;dismantle
 Sports;Sports
 dokumentieren;document
 Anbau;Agriculture
 wecken;wake up
 erschüttert;shocked
 westlicher;Western
 kommerziellen;commercial
 beachtet;respected
 arbeite;working
 Kugel;Bullet
 Töpfer;Potter
 Anregungen;suggestions
 WDR;WDR
 ewigen;everlasting
 gerieten;fell
 Kardinal;Cardinal
 Afghanistan;Afghanistan
 Terrain;Terrain
 beschlagnahmt;confiscated
 bemerkte;remarked
 schwebt;floats
 Überschuß;Excess
 verbotenen;prohibited
 künstlichen;artificial
 Abteilungsleiter;Head of department
 Krisen;crises
 Olympiastadion;Olympic Stadium
 Nordosten;Northeast
 abschließen;to lock
 ausgeweitet;extended
 Reifen;Tire
 Rabin;Rabin
 Bestände;stocks
 Einspruch;opposition
 fühlten;felt
 Sparen;Save up
 Gärten;gardens
 Vernehmen;hear
 zurückliegenden;past
 aufweisen;respectively
 Wahnsinn;Madness
 versammelten;gathered
 Autobahnen;highways
 birgt;harbors
 Schauplatz;Theater
 Folter;Torture
 Bauen;To build
 interessierten;interested
 Match;Match
 Bundesstraße;Federal Highway
 Siedlungen;settlements
 befunden;found
 etablieren;establish
 Ausscheiden;resignation
 Services;Services
 Indianer;Indians
 Ausrüstung;Equipment
 AOK;AOK
 Jahrhunderten;centuries
 zeitgenössischen;contemporary
 Weißen;white
 Mitarbeiterin;Colleague
 auskommen;make do
 Sat;satellite
 1;1
 blockieren;To block
 Aktiengesellschaft;Public Company
 verletzte;injured
 Lebensmitteln;food
 Tragen;Carry
 Kasten;Box
 besichtigen;visit
 Vorliebe;Preference
 entnommen;removed
 Georgios;Georgios
 Halbinsel;Peninsula
 verschwand;disappeared
 Hauptsache;Main thing
 britischer;British
 GUS;CIS
 Verzögerung;Delay
 Unterzeichnung;Signing
 ergaben;showed
 inhaltlich;content
 Streichung;deletion
 Ökologie;Ecology
 Irmgard;Irmgard
 ergriffen;taken
 erteilen;To give
 Zielgruppe;Target group
 grundsätzliche;basic
 zeichnete;recorded
 reißt;tears
 Holger;Holger
 gestimmt;voted
 Blüten;Blossoms
 Pathos;Pathos
 gewechselt;changed
 übte;exercised
 darzustellen;display
 Ludwigsburger;Ludwig Burger
 Nachkriegszeit;Time after war
 Island;Iceland
 Jahrgang;Vintage
 intensiver;intense
 überwacht;supervised
 Pflichten;obligations
 verschont;spared
 operiert;surgery
 künstliche;artificial
 drohende;threatening
 Medikamenten;drugs
 aufgebracht;applied
 Sterben;To die
 Arbeitnehmern;workers
 Reserven;reserves
 Strahlung;Radiation
 Verlagerung;displacement
 bekennt;confesses
 Konzernumsatz;Group sales
 klappt;works
 Wortes;word
 Versagen;To fail
 Ecken;corners
 Regierungspräsidium;Regional Council
 Rezept;Recipe
 Attraktivität;Attractiveness
 gestattet;permitted
 Fahnen;flags
 Turbulenzen;turbulence
 US-Regierung;U.S. government
 Tel;Tel
 Aviv;Aviv
 reichten;ranged
 Fremden;Strange
 nutzten;used
 Warten;Waiting
 Johnson;Johnson
 grün;green
 zügig;quickly
 ähnlicher;Similarly
 erstreckt;extends
 Johanna;Johanna
 baden-württembergische;Baden-Württemberg
 absolviert;completed
 Misere;misery
 Ingenieur;Engineer
 Montage;Assembly
 kandidieren;candidate
 Gruppierungen;groupings
 scheitert;fails
 Gesten;gestures
 Realismus;Realism
 Trends;trends
 europaweit;Europe
 Volker;People
 Rühe;Rühe
 dumm;stupid
 Briefen;letters
 Inge;Inge
 psychisch;mentally
 vereinbarte;agreed
 Attacken;attacks
 energisch;energetic
 Treppe;Stairway
 Abteilungen;departments
 Sperre;lock
 Entspannung;Relaxation
 Wegfall;elimination
 Sehen;See
 Todesstrafe;Death penalty
 Händlern;dealers
 gerückt;moved
 Zwölf;Twelve
 Einigkeit;Unity
 Dublin;Dublin
 niedrigeren;lower
 ausreichende;sufficient
 vergleichbaren;comparable
 alternative;alternative
 Achtung;Danger
 wahrnehmen;perceive
 riefen;shouted
 Kirchengemeinde;Parish
 unglaublich;incredible
 Provinzen;provinces
 Freispruch;Acquittal
 ergreifen;take
 gezielte;targeted
 qualifiziert;qualified
 erfolgreichsten;successful
 spart;saves
 trauen;trust
 Vorbehalte;reservations
 Jubel;cheers
 Mittag;lunch
 Absprache;consultation
 vermehrt;increased
 rückte;moved
 bestenfalls;at best
 Ihres;her
 Darsteller;Actor
 ablehnen;reject
 vorausgesetzt;provided
 sozialdemokratische;Social Democrat
 konzipiert;conceived
 Alliierten;Allies
 Laien;laity
 Geister;spirits
 gewählte;elected
 Gorbatschow;Gorbachev
 Ulrike;Ulrike
 Bemerkung;Comment
 abseits;offside
 kontrollierten;controlled
 Außenseiter;Outsider
 Bauarbeiter;Construction worker
 Weltrangliste;World Ranking
 Erkrankungen;diseases
 mahnte;warned
 Bezüge;Covers
 gesunde;healthy
 Geht;goes
 Anstoß;Kicking off
 Essener;Essen
 Ausstrahlung;broadcasting
 Server;Server
 Abgaben;taxes
 wundert;wonders
 just;just
 gezeichnet;drawn
 Probe;Sample
 Bürgermeisterin;Mayor
 Potsdamer;Potsdamer
 Platz;Place
 Drehbuch;Script
 echter;real
 tatsächliche;actual
 Medaille;Medal
 beginnenden;beginning
 ehemaligen;former
 DDR;GDR
 Sekte;Sect
 sonderlich;particularly
 kannst;can
 CDU-Politiker;CDU politician
 Musical;Musical
 In-;In-
 und;and
 Ausland;Foreign countries
 binden;tie
 Prosa;Prose
 schlechtes;bad
 freigelassen;released
 Aufsicht;At sight
 zielt;aims
 vertrat;represented
 Lieber;Dear
 heiraten;marry
 Vorschrift;regulation
 körperliche;physical
 lehrt;teaches
 Kontinuität;Continuity
 verstand;mind
 hilfreich;helpful
 ahnen;suspect
 Hannelore;Hannelore
 Gewebe;Tissue
 Verteidigungsministerium;Ministry of Defense
 Garantie;Guarantee
 Darmstädter;Darmstadt
 Offizier;Officer
 verbietet;bans
 vermeintlichen;alleged
 schönes;beautiful
 Import;Import
 agieren;act
 Kleider;Clothes
 Eberhard;Eberhard
 Kulisse;setting
 Geständnis;Confession
 verzeichnete;recorded
 Per;By
 Ermittlungsverfahren;investigations
 Siegen;victories
 freundliche;friendly
 Gentechnik;genetic engineering
 Einsätze;operations
 verleiht;gives
 andern;to change
 integrieren;integrate
 herunter;down
 verbuchen;won
 Verringerung;Reduction
 Bush;Bush
 gewandt;turned
 zurückgetreten;resigned
 gestiegenen;increased
 übermittelt;transmitted
 Aufführungen;performances
 Schöne;Lovely
 bedrohten;endangered
 verletzten;injured
 offenbart;disclosed
 Regierungssprecher;Government spokesman
 Begleiter;Companion
 Propaganda;Propaganda
 erschwert;difficult
 kommunistische;communist
 Rüttgers;Rüttgers
 Feiern;Celebrate
 verbreiteten;spread
 definierten;defined
 Tarife;Rates
 Jahreswechsel;Year
 komisch;funny
 fähig;able to
 entsprechendes;appropriate
 Bands;bands
 Jeans;Jeans
 komplizierte;complicated
 Gewerkschafter;trade unionists
 Helsinki;Helsinki
 Zuversicht;Confidence
 ärgert;angry
 Maßstäbe;standards
 Stau;Traffic jam
 geborgen;safe
 beruhigt;calmed down
 zurückgenommen;withdrawn
 Nasdaq;Nasdaq
 Ausschreitungen;riots
 Anmeldungen;Registrations
 Stadtparlament;City Council
 Gebot;Bid
 äußere;outer
 verhält;behaves
 Rehhagel;Rehhagel
 d.;d .
 Song;Song
 Popularität;Popularity
 Kategorien;categories
 Viktor;Viktor
 Saddam;Saddam
 Hussein;Hussein
 überzogen;overdrawn
 Reste;residues
 winzigen;tiny
 spreche;speak
 Parkplätze;Parking
 Atomwaffen;nuclear weapons
 Wimbledon;Wimbledon
 Messungen;measurements
 Studierenden;students
 Jedoch;However
 Einklang;line
 verborgen;hidden
 Bände;volumes
 vereinbaren;arrange
 Problematik;problems
 Kuwait;Kuwait
 überschreiten;exceed
 Pop;Pop
 Wettkampf;Competition
 Marie;Marie
 absurd;absurd
 irgendwelche;any
 Zentren;centers
 Meist;Most
 Disposition;disposition
 Dutzende;dozens
 persönlicher;personal
 angestrebt;sought
 Oslo;Oslo
 Wirt;Host
 Ausflug;Excursion
 Verdienste;merits
 englischer;English
 Ernte;Harvest
 Private;private
 warmen;to warm
 Ude;Ude
 OLG;OLG
 beabsichtigt;intended
 Wollen;Want
 Weltmarkt;World market
 positives;positive
 gen;gene
 Fundamentalisten;fundamentalists
 regierenden;ruling
 anschließenden;subsequent
 Längst;A long time ago
 leid;suffering
 gentechnisch;genetically
 woher;from where
 gehörende;belonging
 trennt;separates
 Sternen;stars
 geistig;spiritual
 Tricks;tricks
 Eintracht;Eintracht
 Frankfurt;Frankfurt
 Lehmann;Lehmann
 Obst;Fruit
 eingebunden;involved
 Konsortium;Consortium
 f;f
 Diskriminierung;discrimination
 Fehlen;Absence
 reale;real
 Vorschlägen;proposals
 freiwillige;voluntary
 Höchst;Maximum
 Mitarbeit;employees
 Alleingang;Single-handedly
 Viren;viruses
 Südosten;Southeast
 operative;operational
 Drohungen;threats
 Gorleben;Gorleben
 Olympischen;Olympic
 Spiele;games
 Großvater;Grandfather
 Antike;antique
 erbracht;provided
 Rivalen;rivals
 F;F
 zugegeben;added
 Besten;best
 aufgewachsen;grew up
 Hemd;Shirt
 Kommt;come
 Spree;Spree
 Bundesgerichtshof;Federal Court
 geräumt;vacated
 brasilianischen;Brazilian
 relevanten;relevant
 Kontext;Context
 Springer;Springer
 brutal;brutally
 reißen;tear
 fasziniert;fascinated
 Allgemeinen;general
 deutschsprachigen;German
 Mitgliedsstaaten;Member States
 Sicherheitsrat;Security Council
 Besserung;Improvement
 Bezirke;districts
 alternativen;alternative
 Nahverkehr;transport
 einziehen;move in
 Zielen;Aim
 Notenbank;Fed
 Unterdrückung;Oppression
 erholt;recovered
 Friedberg;Friedberg
 Oldenburg;Oldenburg
 Eduard;Eduard
 Jugendarbeit;Youth work
 behält;reserves
 Rückführung;Return
 Textilien;Textiles
 Postbank;Postbank
 Genfer;Geneva
 Treiben;Float
 Bewohnern;residents
 Verkehrsminister;Minister of Transport
 willen;sake
 Viag;Viag
 Besondere;Special
 Hosen;trousers
 landet;lands
 Ereignissen;events
 entstandene;created
 Michel;Michel
 Novelle;amendment
 Kläger;plaintiff
 Kapitals;capital
 Nahrungsmittel;Food
 stabile;stable
 entfielen;accounted for
 Frust;Frustration
 stießen;met
 Norbert;Norbert
 Blüm;Blum
 beiseite;aside
 weh;sore
 Hill;Hill
 menschlicher;human
 Effekte;effects
 sofortige;immediate
 Langen;Long
 Chemikalien;chemicals
 historischer;historical
 geführte;guided
 reserviert;reserved
 überstanden;survived
 Untersuchungsausschuß;Committee of Inquiry
 Dritten;third
 Qualitäten;Qualities
 tschetschenischen;Chechen
 Bundesverfassungsgerichts;Federal Constitutional Court
 Auslegung;Interpretation
 Wettbewerber;competitors
 gleichnamigen;the same name
 Lkw;Truck
 Ökonomie;economics
 Rose;Rose
 wilde;wild
 verfügbaren;available
 verdoppeln;double
 Eigenschaft;Property
 Oberlandesgericht;Court of Appeal
 Verstärkung;gain
 stürzt;crashes
 Einbrecher;Housebreaker
 Weiterentwicklung;development
 kostenlose;free
 Normen;standards
 begrenzen;limit
 zurecht;deal
 attraktive;attractive
 Know-how;Know-how
 dick;thick
 anschließen;connect
 Schilling;Schilling
 Marokko;Morocco
 Kreistag;County council
 verschlechtert;deteriorated
 Verletzten;injured
 belgische;Belgian
 bestätigten;confirmed
 lehnten;rejected
 vergangen;past
 Zehntausende;Tens of thousands
 angestrebte;target
 Nummern;numbers
 irischen;Irish
 niedersächsische;Lower Saxony
 FC;FC
 Bayern;Bavaria
 München;Munich
 sogenannter;so-called
 zählten;included
 eingespart;savings
 beschlossenen;adopted
 prinzipiell;principle
 aufzugeben;give up
 angemessene;appropriate
 Prager;Prague
 Bronze;Bronze
 beibehalten;maintained
 Hartmann;Hartmann
 Anlegern;investors
 sprich;ie
 Transaktionen;transactions
 Beratungsstelle;Counseling Center
 Landsmann;Countryman
 anpassen;to adjust
 T.;T .
 IV;IV
 abermals;again
 regieren;govern
 Gegnern;opponents
 Funktionsbaustein;Function block
 unmittelbaren;immediate
 Stämme;strains
 Räder;Bikes
 Stillstand;halt
 nirgendwo;nowhere
 Kartoffeln;potatoes
 industrielle;industrial
 Kriminalpolizei;Criminal Investigation
 Franzose;Frenchman
 qualifizierte;qualified
 Erlaubnis;Permission
 Strauß;Bouquet
 Schwangerschaft;Pregnancy
 fing;began
 Eberhard;Eberhard
 Diepgen;Diepgen
 Transrapid;Transrapid
 Fabriken;factories
 ANC;ANC
 Airbus;Airbus
 Tagebuch;Diary
 islamische;Islamic
 Reparatur;Repair
 Befragung;Survey
 geheimen;secret
 rollt;rolls
 Jutta;Jutta
 Ulmer;Ulmer
 Fotografen;photographers
 Seen;lakes
 Sozialpolitik;Social policy
 Überschrift;Heading
 eingesetzten;used
 angelegten;scale
 EZB;ECB
 eingreifen;intervention
 traut;trust
 kleinsten;smallest
 Zusagen;Accept
 Milieu;Milieu
 mithin;therefore
 Hügel;Hill
 anhaltende;persistent
 kürzen;shorten
 Faszination;Fascination
 Zyklus;Cycle
 Wolfsburg;Wolfsburg
 Flüsse;rivers
 betreuen;care
 Sitzungen;meetings
 Durchsetzung;Enforcement
 Abgang;disposal
 bequem;comfortable
 schwärmt;raves
 appelliert;appeals
 Anneliese;Anneliese
 angetan;done
 welch;what
 Auftragseingang;orders
 beteuert;asserts
 ankommt;arrives
 demselben;the same
 ausgezahlt;paid
 harter;harder
 Intel;Intel
 Politische;political
 Grafik;Graphic
 Anzug;Suit
 iranische;Iranian
 Metro;Metro
 verkörpert;embodied
 zehnten;tenth
 vorgetragen;carried forward
 di;di
 meinten;thought
 Treue;Loyalty
 erörtert;discussed
 widersprach;disagreed
 Hunderttausende;Hundreds of thousands
 Vorstandssprecher;CEO
 flexibel;flexible
 Gras;Grass
 Tenor;Tenor
 Versionen;versions
 Kontrahenten;counterparty
 Nordsee;North Sea
 Absichten;intentions
 abzugeben;leave
 schaden;damage
 Wehrmacht;Wehrmacht
 Utopie;utopia
 Marion;Marion
 australischen;Australian
 steigerte;increased
 untersuchten;examined
 Henry;Henry
 dementiert;denied
 unmittelbarer;immediate
 Irrtum;Error
 gleichfalls;Likewise
 Paragraphen;section
 Blicke;views
 repräsentiert;represents
 gelbe;yellow
 Irene;Irene
 senden;send
 geringfügig;slightly
 Dunkelheit;Darkness
 Vorträge;lectures
 Slowenien;Slovenia
 Referent;Speaker
 stationiert;stationed
 Entlassungen;Redundancies
 einigten;agreed
 bunt;colorful
 hoffentlich;hopefully
 Verbänden;associations
 entsprach;corresponded
 verbrachte;spent
 präsentierten;presented
 Fahne;Banner
 folglich;therefore
 Erscheinen;Appear
 oberhalb;above
 ägyptischen;Egyptian
 träumt;dreams
 ausgewertet;evaluated
 Hohe;Height
 drückte;pressed
 festgeschrieben;crystallized
 University;University
 verbucht;recorded
 Bewag;Bewag
 Nordwesten;Northwest
 kaputt;broken
 Einbeziehung;inclusion
 SV;SV
 verdiente;earned
 Pilot;Pilot
 Großmutter;Grandmother
 erfreulich;pleasing
 reiste;traveled
 bundesweiten;nationwide
 Soweit;So far
 Lohnarten;Wage types
 Kokain;Cocaine
 Pressemitteilung;Press Release
 nachzudenken;thinking
 angebotenen;offered
 Sozialversicherung;Social insurance
 Vernehmung;hearing
 Zuständigkeit;competence
 Tempel;Temple
 erschienenen;published
 Fernsehens;television
 Lebed;Lebed
 Dietrich;Dietrich
 Repertoire;Repertoire
 Verbündeten;allies
 frischen;fresh
 Geschäftsbereich;business
 Theologie;Theology
 Zucker;Sugar
 schwersten;heaviest
 verstärkten;increased
 lächelt;smiles
 Götter;gods
 Abbildung;Illustration
 zweitgrößte;second largest
 taten;did
 Schafe;sheep
 bar;bar
 vergrößert;increased
 Philippinen;Philippines
 Kursen;rates
 Zimmern;rooms
 Angreifer;Attacker
 Bundespräsidenten;Federal President
 Organe;Organs
 Peru;Peru
 mussten;had
 lächerlich;ridiculous
 gesungen;sung
 aufgeklärt;enlightened
 Getränke;Beverages
 externe;external
 Fund;Fund
 DDR-Zeiten;GDR times
 bezog;moved
 feine;fine
 Ingeborg;Ingeborg
 Territorium;Territory
 Reis;Rice
 Gesamtjahr;Full year
 Hubert;Hubert
 beschließt;decides
 Beate;Beate
 Gesprächspartner;Interlocutor
 Supermarkt;Supermarket
 Sparmaßnahmen;Saving measures
 Statistiken;Statistics
 bliebe;would remain
 höchster;highest
 Günter;Günter
 Rexrodt;Rexrodt
 Geschlecht;Gender
 Dom;Dom
 Betreuer;Supervisor
 zueinander;to each other
 vorzubereiten;prepare
 Boykott;Boycott
 Fachleuten;professionals
 Dietmar;Dietmar
 Computern;computers
 Marktanteile;Market share
 Hartmut;Hartmut
 Volkswirtschaft;National economy
 Ostsee;Baltic Sea
 bekämpft;combated
 Nähere;more
 gescheiterten;failed
 Schiene;Rail
 selbstbewußt;confident
 Bundeswirtschaftsminister;Federal Minister of Economics
 Ausschreibung;tender
 Z;Z
 irakische;Iraqi
 Anweisungen;Instructions
 Verlegung;Laying
 Spalten;Columns
 Rio;Rio
 Bauwirtschaft;construction industry
 Getreide;Grain
 Konrad;Konrad
 Selektion;Selection
 Litauen;Lithuania
 Intensität;Intensity
 Elite;Elite
 Baden-Baden;Baden-Baden
 Anruf;Call
 Stärken;Strengthen
 vernünftige;reasonable
 nachdrücklich;strongly
 Kopie;Copy
 einmalig;unique
 wundern;wonder
 vernachlässigt;neglected
 Plädoyer;Plea
 Messen;Measure up
 verließen;left
 Los;Come on
 Handvoll;Handful
 Sitzen;Sit
 manchem;many
 Nehmen;To take
 verhelfen;help
 Angriffen;attacks
 Peres;Peres
 Sparten;divisions
 indische;Indian
 zivile;civil
 Symbole;symbols
 gehörenden;belonging
 Kommentare;Comments
 Provokation;Provocation
 Wünschen;To wish
 außerordentlichen;extraordinary
 Wählern;voters
 auftritt;occurs
 Prenzlauer;Prenzlauer
 Berg;Mountain
 herausgefunden;found out
 Arbeitskräfte;workforce
 dringt;penetrates
 Führerschein;driver's license
 registrieren;to register
 befragten;surveyed
 runter;down
 Dirigent;Conductor
 vernünftig;reasonable
 Schmitt;Schmitt
 Festivals;festivals
 angenehm;enjoyable
 Wiederherstellung;Restoration
 virtuelle;virtual
 Mustafa;Mustafa
 Grad;Degree
 Celsius;Celsius
 nützt;benefits
 Zügen;trains
 schienen;rails
 Großhandel;Wholesale
 jüdischer;Jewish
 Sony;Sony
 Geplant;Planned
 Sondersitzung;Special Session
 Nagel;Nail
 Einwanderer;Immigrant
 Entschuldigung;Excuse me
 Evangelische;Protestant
 Erforschung;Exploration
 Gulden;Gulden
 Ambiente;ambience
 eingetroffen;arrived
 Schreiber;Schreiber
 seltsam;strange
 Kleinstadt;Town
 gelitten;suffered
 mitteilt;telling
 Philips;Philips
 Weißrußland;Belarus
 Angela;Angela
 Merkel;Merkel
 Steuerhinterziehung;Tax evasion
 Finanzpolitik;Fiscal policy
 Hafenstadt;Harbor City
 derlei;this kind
 dunkel;dark
 Typs;type
 Halt;Stop
 abzusehen;refrain
 Story;Story
 bevorstehende;forthcoming
 weitergegeben;disclosed
 Hierbei;Here
 Mittelfeldspieler;Midfield player
 Schmid;Schmid
 Kurve;Curve
 engagierten;dedicated
 Heer;Army
 analysieren;analyze
 einheimischen;native
